Inf;Jogador;Nação;Clube;Posição;Expira;Data de Início do Contrato;Bravura;Agressividade;(Tendência) para Saídas da Baliza;Lançamentos;Idade;Posição;Pé Preferido;Nação de Nascimento;Altura;Região Nascimento;Data Nasc.;Melhor Pos;Susceptibilidade a Lesões;Emprestado Por;Último Clube;2ª Nac;Selecção Nacional;Unique ID;Técnica;Desarme;Marcação de Penáltis;Passe;Marcação;Lançamentos Longos;Remates de Longe;Cabeceamento;Livres;Primeiro Toque;Finalização;Finta;Cruzamentos;Cantos;Força;Resistência;Velocidade;Aptidão Física;Impulsão;Equilíbrio;Agilidade;Aceleração;Índice de Trabalho;Visão de Jogo;Posicionamento;Trabalho de Equipa;Sem Bola;Liderança;Imprevisibilidade;Determinação;Decisões;Concentração;Compostura;Antecipação;Saídas a Punhos;Reflexos;Pontapé;Um Para Um;Jogo de Mãos;Comunicação;Alcance Aéreo
;Felipe Aguirre;COL;Athletico-PR;D (C);31/12/2027;8/7/2025;10-16;12-16;1-5;3-7;29;D (C);Pé Direito;Colômbia;1,86 m;Andina;29/8/1996;D (C);Abaixo da Média;;Atlético Nacional;;;76046572;7-11;11-17;3-7;10-14;10-14;6-10;4-8;12-18;3-9;12-16;4-10;7-11;5-9;6-10;14-18;9-13;8-14;10-14;11-15;9-15;9-13;8-12;9-13;6-12;8-14;12-18;4-8;11-15;6-10;14-18;9-13;11-15;12-16;10-14;1;1-5;1-5;1-4;1-5;1-5;1-6
;Airton;BRA;Vitória;MO (DEC);31/12/2026;1/1/2025;-;-;-;-;17;MO (DEC);Pé Preferido Desconhecido;Brasil;1,78 m;Bahia;14/6/2008;MO (C);Média;;-;;;2000501203;2-10;-;-;9-15;-;-;4-12;-;-;13-20;5-15;-;-;-;-;-;-;-;-;-;-;-;-;8-18;-;-;-;-;9-17;-;-;-;10-18;-;-;-;-;-;-;-;-
;Akiles;BRA;Cruzeiro;M/MO (EC);31/12/2027;17/7/2024;-;-;-;-;17;M/MO (EC);Pé Preferido Desconhecido;Brasil;1,73 m;Distrito Federal;24/3/2008;MO (E);Acima da Média;;Paranavaí;;;2000384208;-;-;-;7-13;-;-;-;-;-;11-19;1-11;9-15;6-12;-;-;-;10-20;-;-;-;9-15;7-13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Alan Patrick;BRA;SC Internacional;M/MO (C);31/12/2027;29/12/2025;10-16;10-14;1-7;1-5;34;M/MO (C);Somente Pé Direito;Brasil;1,77 m;São Paulo;13/5/1991;MO (C);Alta;;Shakhtar;;;19084056;11-15;9-15;15-19;12-16;8-12;7-11;8-12;6-12;9-15;15-19;8-14;12-16;11-15;11-15;12-16;9-13;13-19;12-16;6-10;8-14;11-15;12-16;8-12;12-18;6-12;12-18;13-17;12-16;15-19;13-17;10-14;12-16;14-18;11-15;1-2;1-5;1-5;1-3;1-3;3-7;1-6
;Alan Santos;BRA;Flamengo;MO (E);31/1/2028;1/4/2025;-;-;-;-;18;MO (E);Pé Preferido Desconhecido;Brasil;1,83 m;Rio de Janeiro;10/5/2007;MO (E);Média;;-;;;2000525100;-;-;-;6-14;-;-;-;-;-;6-13;11-17;4-10;7-15;-;-;-;4-13;-;-;-;8-14;5-13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Alberto;BRA;Chapecoense;PL (C);31/12/2027;26/11/2025;-;-;-;-;19;PL (C);Pé Preferido Desconhecido;Brasil;1,76 m;Paraná;16/2/2006;PL (C);Acima da Média;;Nacional (SP);;;2000278139;-;-;-;9-16;-;-;-;13-19;-;11-20;8-14;-;-;-;6-15;-;8-14;-;1-7;-;-;12-19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Alef Manga;BRA;Remo;MO (DE), PL (C);31/12/2026;29/12/2025;12-16;9-15;1-5;1-4;31;MO (DE), PL (C);Somente Pé Direito;Brasil;1,90 m;São Paulo;29/11/1994;MO (D);Abaixo da Média;;Avaí;;;83259149;10-14;5-9;8-12;10-16;5-11;6-10;8-12;11-15;8-12;11-15;13-17;10-14;10-16;3-9;12-16;10-14;12-16;13-19;11-17;11-15;9-13;12-18;10-14;10-14;6-10;8-12;9-13;2-8;10-16;9-13;8-12;7-13;11-15;8-12;1-5;2-6;1-2;1-3;1-5;1-4;1-5
;Alerrandro;BRA;SC Internacional;PL (C);31/12/2027;17/2/2025;8-14;9-13;1-7;1-5;25;PL (C);Pé Direito;Brasil;1,81 m;Minas Gerais;12/1/2000;PL (C);Alta;CSKA Moscovo;RB Bragantino;;;19296892;10-14;5-11;12-16;9-13;6-10;7-11;8-12;8-14;7-13;14-18;10-16;10-14;9-13;8-12;10-14;7-11;11-17;8-12;8-12;10-16;9-13;11-15;7-11;10-16;5-11;9-15;11-15;6-10;13-17;10-14;9-13;10-14;12-16;12-16;1-3;1-4;1-5;1-3;1-3;3-7;1-5
;Alessandro;BRA;Cruzeiro;MD, M (C);31/12/2028;1/7/2025;-;-;-;-;18;MD, M (C);Pé Preferido Desconhecido;Brasil;1,79 m;Minas Gerais;22/8/2007;M (C);Média;;-;;;2002043503;-;15-20;-;7-16;-;-;2-10;-;-;10-16;-;-;-;-;1-7;-;-;-;-;-;-;-;11-19;11-18;-;-;-;-;6-12;-;-;-;-;-;-;-;-;-;-;-;-
;Alesson;BRA;Mirassol;MO (DE);31/12/2027;1/7/2025;8-12;10-14;1-3;1-2;26;MO (DE);Pé Direito;Brasil;1,73 m;São Paulo;16/2/1999;MO (E);Abaixo da Média;;Torpedo Moscovo;;;19306798;12-18;3-9;9-13;9-13;7-11;4-8;9-15;5-11;8-12;5-9;7-11;11-15;7-11;10-14;5-9;11-17;10-16;10-14;8-12;11-15;13-17;15-19;9-15;9-15;6-10;5-11;12-16;5-9;14-18;8-12;9-15;9-13;7-11;10-14;1-6;1-3;1-3;1-5;1-5;1;1-3
;Alex Muralha;BRA;Mirassol;GR;31/12/2026;10/12/2025;11-15;8-12;8-14;9-13;36;GR;Somente Pé Direito;Brasil;1,88 m;Minas Gerais;10/11/1989;GR;Alta;;Coritiba;;;19172116;5-11;1-3;1-4;8-12;2-6;1-2;1-7;1-5;5-9;3-7;1-4;1-3;1-3;3-7;9-13;9-15;7-13;11-15;14-18;11-15;10-14;10-14;7-13;3-9;9-13;6-12;1-4;11-15;2-6;7-11;8-14;11-15;6-10;8-12;14-20;13-17;9-13;15-19;12-16;8-12;9-15
D;Alex Nascimento;BRA;Santos;D (C);31/12/2026;12/6/2024;8-12;8-14;3-7;1-3;26;D (C);Somente Pé Esquerdo;Brasil;1,89 m;São Paulo;10/5/1999;D (C);Alta;;Fluminense;;;19290866;8-12;13-17;3-9;6-12;10-14;8-12;5-9;13-17;3-7;10-14;5-9;7-13;4-10;2-6;11-15;10-14;12-16;9-15;13-17;7-11;10-16;8-14;10-14;11-15;9-13;12-16;6-12;6-12;8-12;9-13;10-14;8-12;10-14;9-15;1-4;1;1-5;1-5;1-4;1-4;1-5
;Alex Sandro;BRA;Flamengo;D (EC), DA (E);31/12/2026;26/8/2024;13-17;13-17;1-4;1-7;34;D (EC), DA (E);Pé Esquerdo;Brasil;1,80 m;São Paulo;26/1/1991;D (E);Alta;;Juventus;;;19067093;10-16;13-17;7-11;14-18;9-13;11-17;6-12;12-16;6-10;13-19;7-11;11-15;14-18;7-11;11-17;9-15;11-15;16-20;8-12;11-15;10-14;10-14;11-17;10-14;14-18;13-17;9-13;13-17;10-14;11-17;9-15;7-11;12-18;13-17;1-4;2-6;1-3;1-2;1-5;1-6;1-5
D;Alex Santana;BRA;Corinthians;MD, M (C);31/12/2027;10/7/2024;10;13;3;3;30;MD, M (C);Pé Direito;Brasil;1,82 m;São Paulo;13/5/1995;M (C);Acima da Média;;Athletico-PR;;;19167419;14;10;13;14;9;8;15;10;12;13;12;14;11;10;13;12;13;13;11;12;13;14;11;13;10;12;13;10;14;13;12;12;13;11;2;2;3;1;3;3;3
Prt;Alex Telles;BRA;Botafogo;D/DA (E);31/12/2026;2/9/2024;13-19;13-17;1-2;1-5;33;D/DA (E);Pé Esquerdo;Brasil;1,81 m;Rio Grande do Sul;15/12/1992;D (E);Média;;Al-Nassr;Itália;;19162830;14-18;8-12;12-18;11-15;7-11;11-15;14-18;6-10;13-19;12-16;10-16;10-16;15-19;14-18;9-13;13-17;9-13;12-16;9-13;12-18;10-16;12-16;11-15;9-13;7-13;8-12;10-16;9-13;12-16;12-16;13-17;9-13;12-16;9-15;3-7;1-5;1-3;1-3;1-3;2-6;1
;Alexsander;BRA;Atlético Mineiro;D (E), MD, M (C);31/12/2029;29/7/2025;10-14;10-14;1-5;1-5;22;D (E), MD, M (C);Somente Pé Esquerdo;Brasil;1,77 m;Rio de Janeiro;8/10/2003;MD;Alta;;Al-Ahli;;;2000084501;9-15;10-14;10-14;13-17;9-13;7-13;8-14;8-12;9-13;11-17;7-11;10-14;11-15;8-12;7-13;9-15;10-14;12-16;5-9;9-13;12-16;13-17;8-14;11-15;13-17;11-15;10-14;8-12;8-12;11-17;9-15;9-13;11-17;13-17;1-4;1-5;1-4;1-3;3-7;1-7;1-3
;Alexsandro;BRA;Grêmio;PL (C);31/12/2027;28/2/2025;-;-;-;-;19;PL (C);Pé Preferido Desconhecido;Brasil;1,79 m;Bahia;6/2/2006;PL (C);Alta;;Vitória;;;2000335651;-;-;-;6-14;-;-;-;4-13;-;3-10;10-16;-;-;-;2-9;-;4-13;-;10-17;-;-;7-15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Alexsandro;BRA;Atlético Mineiro;D/DA/M (E);31/12/2028;29/12/2025;-;-;-;-;16;D/DA/M (E);Pé Preferido Desconhecido;Brasil;1,91 m;;25/4/2009;D (E);Alta;;Fluminense;;;2000530318;-;11-17;-;-;1-7;-;-;-;-;11-20;-;-;12-20;-;4-14;-;11-17;-;-;-;-;14-20;-;-;5-11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Alexsandro Faísca;BRA;Vitória;MO (D);31/12/2027;13/8/2025;-;-;-;-;19;MO (D);Pé Preferido Desconhecido;Brasil;1,76 m;Minas Gerais;19/2/2006;MO (D);Média;;PSTC;;;2000452991;-;-;-;8-14;-;-;-;-;-;7-15;10-19;5-14;6-12;-;-;-;7-14;-;-;-;6-15;12-18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Alisson;BRA;Fluminense;MD, M (C);31/12/2027;1/10/2024;10-14;6-10;1-3;1-4;32;MD, M (C);Pé Direito;Brasil;1,74 m;Minas Gerais;25/6/1993;M (C);Alta;São Paulo;Grêmio;;;19189685;10-14;9-13;12-16;10-14;10-16;3-9;11-15;5-9;11-15;10-16;6-10;12-16;7-11;8-14;5-11;12-16;10-14;9-13;4-10;10-14;13-17;9-13;13-17;11-15;12-16;15-19;12-16;6-10;12-18;9-15;10-14;12-18;11-17;14-18;1-5;1-3;1-5;1-7;1-2;1-3;1-4
;Alisson;BRA;SC Internacional;D/DA (E);31/12/2030;1/7/2025;-;-;-;-;17;D/DA (E);Pé Preferido Desconhecido;Brasil;1,77 m;Rio Grande do Sul;31/7/2008;D (E);Abaixo da Média;;-;;;2002043192;-;6-16;-;-;11-19;-;-;-;-;4-12;-;-;6-14;-;1-7;-;5-15;-;-;-;-;8-16;-;-;7-13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Alisson Santana;BRA;São Paulo;D (C);31/1/2027;24/2/2025;-;-;-;-;17;D (C);Pé Preferido Desconhecido;Brasil;1,84 m;;1/1/2008;D (C);Média;;-;;;2000520240;-;10-20;-;-;7-15;-;-;10-20;-;5-13;-;-;-;-;4-12;-;-;-;7-15;-;-;-;-;-;4-14;-;-;-;-;6-14;-;-;-;-;-;-;-;-;-;-;-
;Alix Vinicius;BRA;RB Bragantino;D (C);31/12/2028;29/12/2025;10-14;9-15;3-7;1-4;26;D (C);Somente Pé Direito;Brasil;1,95 m;Bahia;6/11/1999;D (C);Média;;Atlético Goianiense;;;2000240912;9-13;13-17;7-13;8-14;10-14;9-13;5-9;15-19;3-7;8-12;5-9;7-13;3-9;5-9;14-18;11-15;11-15;9-15;15-19;6-10;8-14;7-13;10-14;10-14;8-12;13-17;7-13;2-8;3-7;11-15;9-13;9-13;8-12;11-17;1-4;1-2;1-6;1-3;1-4;2-6;3-7
;Allan;BRA;Botafogo;MD, M (C);31/12/2026;3/7/2024;16-20;14-20;1-4;1-4;34;MD, M (C);Pé Direito;Brasil;1,75 m;Rio de Janeiro;8/1/1991;MD;Acima da Média;;Al-Wahda;Portugal;;19101228;13-17;12-16;6-10;13-19;8-14;4-8;10-14;8-12;12-16;12-16;11-15;9-13;9-15;8-14;9-13;10-14;8-12;12-18;3-9;13-17;8-12;8-14;12-16;12-16;13-17;13-17;9-13;15-20;8-14;15-19;11-15;10-16;14-18;10-14;2-6;2-6;1-3;1-4;1-7;1-4;1-5
;Allan;BRA;Palmeiras;M (DC), MO (DEC);31/12/2029;2/6/2025;6-12;10-14;1-7;1-5;21;M (DC), MO (DEC);Pé Esquerdo;Brasil;1,75 m;Santa Catarina;19/4/2004;MO (C);Alta;;Figueirense;;;2000221411;11-15;7-13;10-14;10-14;8-12;5-9;6-10;7-13;7-13;13-17;7-13;13-17;9-13;9-13;8-12;8-12;10-16;11-15;5-9;8-14;13-17;11-15;8-12;10-16;5-11;10-16;10-14;8-12;10-14;7-11;6-10;9-13;12-16;10-14;1-3;1-5;1-4;1-5;1-5;1-5;1-7
;Allan;BRA;Corinthians;MD, M (C);31/12/2027;2/7/2023;13-17;14-20;2-6;1-5;28;MD, M (C);Pé Esquerdo;Brasil;1,72 m;São Paulo;3/3/1997;MD;Alta;Flamengo;Atlético Mineiro;;;19260884;11-15;11-15;6-10;11-17;9-15;4-8;10-14;5-9;12-16;12-16;7-11;9-13;10-16;9-15;9-13;11-15;10-14;10-16;3-9;14-18;9-13;10-16;11-15;11-15;14-18;11-15;11-15;9-15;9-15;13-17;11-15;8-14;11-15;9-13;1-4;1-5;1;1-5;1-5;1-3;1-5
;Allex;BRA;SC Internacional;M/MO (C);31/12/2027;2/9/2024;-;-;-;-;19;M/MO (C);Pé Preferido Desconhecido;Brasil;1,67 m;São Paulo;4/5/2006;M (C);Abaixo da Média;;-;;;2000273986;9-18;-;-;7-15;-;-;8-17;-;-;4-11;8-14;-;-;-;-;-;-;-;-;-;-;-;-;4-13;-;-;-;-;11-18;-;-;-;3-10;-;-;-;-;-;-;-;-
;Alejandro Almaraz;ARG;Vitória;MD, M/MO (C);31/12/2027;1/7/2025;-;-;-;-;19;MD, M/MO (C);Pé Preferido Desconhecido;Argentina;1,81 m;Buenos Aires;2/12/2006;M (C);Acima da Média;;Nueva Chicago;;S-20;2000347153;9-17;-;-;6-15;-;-;7-15;-;-;8-14;3-10;-;-;-;-;-;-;-;-;-;-;-;-;12-19;-;-;-;-;18-20;-;-;-;8-14;-;-;-;-;-;-;-;-
;Junior Alonso;PAR;Atlético Mineiro;D (EC);31/12/2026;10/7/2024;14-18;10-14;1-5;1-3;32;D (EC);Pé Esquerdo;Paraguai;1,84 m;Western Paraguay;9/2/1993;D (C);Média;;Krasnodar;;A;79024221;9-13;11-15;11-15;8-12;13-19;10-16;8-12;11-15;9-13;6-12;6-10;7-11;8-12;4-10;9-15;12-16;10-14;11-15;10-16;12-16;10-14;7-11;12-16;9-13;13-17;11-15;10-14;9-13;4-10;9-15;10-14;9-15;9-15;12-16;1-5;1-5;1-5;1-7;1-2;1-5;1-5
Npt;Francis Amuzu;BEL;Grêmio;MO (E);31/12/2026;29/12/2025;10-14;7-11;1-3;1-3;26;MO (E);Pé Direito;Gana;1,70 m;Greater Accra Region;23/8/1999;MO (E);Muito Alta;;RSC Anderlecht;Gana;;18101803;11-17;3-9;6-10;10-14;8-12;4-8;8-14;3-9;5-9;8-12;9-13;11-15;10-14;9-13;7-11;10-16;12-18;12-16;8-12;10-14;13-17;14-18;9-15;6-12;8-12;9-15;10-14;7-11;12-16;10-14;9-15;10-14;6-10;9-13;1-6;1-4;1-4;3-7;1-5;1-2;1-4
;Anderson;BRA;Chapecoense;GR;31/12/2027;29/12/2025;11-15;7-11;11-15;8-14;27;GR;Somente Pé Esquerdo;Brasil;1,92 m;São Paulo;5/3/1998;GR;Média;;Atlético Goianiense;;;19250117;5-9;1-4;3-7;4-8;1-6;1-4;1-5;4-8;4-8;3-9;1-3;2-6;1;3-9;8-14;11-15;8-12;7-11;14-20;7-11;13-17;6-10;8-12;6-10;10-14;10-14;6-10;2-6;1-6;9-15;8-12;9-15;5-11;11-15;8-12;11-15;10-14;10-16;9-13;6-12;12-16
;Anderson Pato;BRA;Vitória;MO (DE);31/12/2026;29/12/2025;5-11;3-7;-;-;23;MO (DE);Pé Direito;Brasil;1,78 m;;28/9/2002;MO (E);Média;;Juazeiro;;;2000533103;7-11;7-13;1-5;9-13;-;-;5-9;8-14;5-11;9-13;10-16;9-13;8-12;5-9;7-11;5-9;10-16;9-13;7-11;2-8;10-14;10-14;7-11;5-11;-;8-14;10-14;10-14;9-13;16-20;11-15;8-12;9-13;7-11;-;-;-;-;-;-;-
;Anderson Pato;BRA;Vitória;MO (DE), PL (C);31/12/2027;1/7/2025;8-12;12-16;-;-;23;MO (DE), PL (C);Pé Direito;Brasil;1,94 m;Bahia;28/9/2002;MO (E);Abaixo da Média;;Juazeiro;;;2002042702;10-16;2-8;6-10;8-12;-;-;5-11;6-12;9-13;6-10;7-11;11-15;9-13;7-11;1-5;9-15;9-15;8-12;13-17;10-14;11-15;11-15;12-18;2-8;-;6-12;7-11;14-18;13-17;12-16;8-14;7-11;5-9;6-10;-;-;-;-;-;-;-
;André;BRA;Corinthians;MD, M (C);31/12/2029;22/8/2025;-;-;-;-;19;MD, M (C);Pé Preferido Desconhecido;Brasil;1,83 m;;20/6/2006;M (C);Média;;-;;;2000273902;-;9-18;-;7-13;-;-;3-10;-;-;10-17;-;-;-;-;11-18;-;-;-;-;-;-;-;3-10;9-18;-;-;-;-;6-14;-;-;-;-;-;-;-;-;-;-;-;-
;André;BRA;Vasco da Gama;MO (E);31/12/2026;1/9/2024;11;8;2;2;20;MO (E);Somente Pé Direito;Brasil;1,70 m;;18/7/2005;MO (E);Média;;-;;;2000219347;12;7;3;10;6;7;9;6;8;11;9;11;11;7;7;8;12;10;8;9;12;13;12;11;7;9;11;12;13;15;9;10;7;9;3;2;2;2;3;3;2
;André Cardoso;BRA;RB Bragantino;MD, M (C);31/12/2028;6/1/2025;4-10;11-15;-;-;22;MD, M (C);Pé Direito;Brasil;1,85 m;;17/5/2003;MD;Acima da Média;;Novorizontino;;;2000166477;6-10;12-18;-;12-16;9-13;-;5-9;8-14;1-3;9-13;1-7;7-11;6-10;-;9-13;8-12;8-14;11-15;8-12;7-13;9-13;3-7;8-12;12-18;10-16;8-14;8-12;7-11;4-8;14-18;4-8;7-11;6-10;7-11;-;-;-;-;-;-;-
Prt;André Henrique;BRA;Grêmio;PL (C);31/12/2028;29/12/2025;11-15;1-5;1-3;1-5;24;PL (C);Pé Direito;Brasil;1,89 m;Bahia;17/12/2001;PL (C);Média;;Hercílio Luz;;;2000034893;8-12;5-9;8-12;6-10;4-10;7-13;9-13;11-15;6-10;7-13;10-14;11-15;5-9;5-11;9-15;12-16;10-14;8-12;12-18;10-14;13-17;9-13;13-17;8-12;8-12;8-12;13-17;10-14;8-14;10-16;11-15;8-14;8-14;12-16;1-4;1-4;1-5;1-5;1;1-3;1-3
;André Lucas;BRA;Palmeiras;D/DA (E);28/2/2027;10/7/2024;-;-;-;-;19;D/DA (E);Pé Preferido Desconhecido;Brasil;1,78 m;São Paulo;22/1/2006;D (E);Abaixo da Média;;-;;;2000430155;-;12-18;-;-;3-10;-;-;-;-;5-14;-;-;13-20;-;2-11;-;8-14;-;-;-;-;14-20;-;-;4-10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;André Luís;BRA;Mirassol;MO (E), PL (C);31/12/2026;29/12/2025;11-15;12-16;1-4;1-2;31;MO (E), PL (C);Pé Direito;Brasil;1,84 m;Pará;3/9/1994;PL (C);Acima da Média;;Shanghai Shenhua;;;19258902;9-15;2-8;9-13;8-12;6-10;1-4;10-16;10-16;10-14;7-11;12-16;10-14;7-11;7-11;8-12;8-14;9-15;12-16;14-18;11-15;10-14;12-16;9-15;4-10;3-7;7-13;13-17;7-11;13-17;9-13;8-14;9-13;8-12;11-15;1-6;1-5;1-5;1-5;1-4;1-3;1-3
;André Moreira;POR;Remo;GR;31/12/2026;1/7/2025;11-15;8-12;13-17;7-13;30;GR;Somente Pé Direito;Portugal;1,95 m;Ave;2/12/1995;GR;Abaixo da Média;;Volos;;;55082016;7-11;1-3;1-5;7-11;1-5;1-3;1-3;5-9;4-8;5-11;1-3;1-5;1-2;1-6;10-16;8-12;8-12;8-12;15-20;7-11;13-17;4-8;8-12;6-10;10-14;11-15;2-6;8-12;1-6;9-15;9-13;9-15;6-12;13-17;12-16;13-17;12-16;12-18;8-12;8-14;12-16
;André Ramalho;BRA;Corinthians;D (C), MD;31/12/2026;11/7/2024;14-20;13-17;1;1-3;33;D (C), MD;Pé Direito;Brasil;1,82 m;São Paulo;16/2/1992;D (C);Abaixo da Média;;PSV;Áustria;;16097159;13-17;9-13;4-10;10-14;12-16;9-13;9-13;10-14;8-14;9-13;5-11;5-11;7-11;4-8;11-15;13-17;6-10;11-15;11-15;11-17;6-12;7-11;12-16;6-10;11-17;9-13;4-10;11-15;7-11;10-14;10-14;9-13;13-17;10-16;4-8;1-6;1-4;1-5;2-6;1-4;1-2
